HEAD,RELATION,TAIL
耳聋,complication_to,早产
早产,complication_to,妊娠期肝内胆汁淤积症
妊娠期肝内胆汁淤积症,complication_to,早产
早产,caused_by,肥胖
肥胖,lead_to,早产
早产,treated_by,计划性剖宫产
计划性剖宫产,to_treat,早产
早产儿,complication_to,肠炎
肠炎,complication_to,早产儿
早产儿,complication_to,肺炎
肺炎,complication_to,早产儿
早产儿,complication_to,低蛋白血症
低蛋白血症,complication_to,早产儿
早产儿,complication_to,瘢痕
瘢痕,complication_to,早产儿
早产儿,complication_to,脑病
脑病,complication_to,早产儿
早产儿,complication_to,高胆红素血症
高胆红素血症,complication_to,早产儿
早产儿,complication_to,颅内出血
颅内出血,complication_to,早产儿
早产儿,complication_to,佝偻病
佝偻病,complication_to,早产儿
早产儿,complication_to,出血......
出血......,complication_to,早产儿
早产儿,complication_to,感染
感染,complication_to,早产儿
早产儿,complication_to,上消化道出血
上消化道出血,complication_to,早产儿
早产儿,complication_to,发热
发热,complication_to,早产儿
早产儿,complication_to,嗜睡
嗜睡,complication_to,早产儿
早产儿,complication_to,贫血
贫血,complication_to,早产儿
早产儿,complication_to,体重增加
体重增加,complication_to,早产儿
早产儿,complication_to,低血糖.........
低血糖.........,complication_to,早产儿
早产儿,complication_to,败血症
败血症,complication_to,早产儿
早产儿,complication_to,早产
早产,complication_to,早产儿
早产儿,complication_to,青光眼
青光眼,complication_to,早产儿
早产儿,contains_symptom,肠炎
肠炎,symptom_of,早产儿
早产儿,contains_symptom,咳嗽
咳嗽,symptom_of,早产儿
早产儿,contains_symptom,黄疸
黄疸,symptom_of,早产儿
早产儿,contains_symptom,肺炎
肺炎,symptom_of,早产儿
早产儿,contains_symptom,水肿
水肿,symptom_of,早产儿
早产儿,contains_symptom,呕吐
呕吐,symptom_of,早产儿
早产儿,contains_symptom,呼吸困难
呼吸困难,symptom_of,早产儿
早产儿,contains_symptom,颅内出血
颅内出血,symptom_of,早产儿
早产儿,contains_symptom,低血压
低血压,symptom_of,早产儿
早产儿,contains_symptom,感染
感染,symptom_of,早产儿
早产儿,contains_symptom,出血......
出血......,symptom_of,早产儿
早产儿,contains_symptom,上消化道出血
上消化道出血,symptom_of,早产儿
早产儿,contains_symptom,高血压
高血压,symptom_of,早产儿
早产儿,contains_symptom,休克
休克,symptom_of,早产儿
早产儿,contains_symptom,尿
尿,symptom_of,早产儿
早产儿,contains_symptom,窒息
窒息,symptom_of,早产儿
早产儿,contains_symptom,腹胀
腹胀,symptom_of,早产儿
早产儿,contains_symptom,电解质紊乱
电解质紊乱,symptom_of,早产儿
早产儿,contains_symptom,贫血
贫血,symptom_of,早产儿
早产儿,contains_symptom,腹泻病
腹泻病,symptom_of,早产儿
早产儿,contains_symptom,低血糖.........
低血糖.........,symptom_of,早产儿
早产儿,contains_symptom,充血性心力衰竭
充血性心力衰竭,symptom_of,早产儿
早产儿,contains_symptom,早产
早产,symptom_of,早产儿
早产儿,contains_symptom,败血症
败血症,symptom_of,早产儿
早产儿,check_item,脑电图检查
脑电图检查,checked_for,早产儿
早产儿,treated_by,维生素a维生素d
维生素a维生素d,to_treat,早产儿
早产儿,treated_by,葡萄糖
葡萄糖,to_treat,早产儿
早产儿,treated_by,氧
氧,to_treat,早产儿
早产儿,treated_by,维生素d3
维生素d3,to_treat,早产儿
早搏,complication_to,猝死
猝死,complication_to,早搏
早搏,complication_to,室性心动过速
室性心动过速,complication_to,早搏
早搏,contains_symptom,乏力
乏力,symptom_of,早搏
早搏,contains_symptom,头晕....
头晕....,symptom_of,早搏
早搏,contains_symptom,胸闷
胸闷,symptom_of,早搏
早搏,contains_symptom,心悸
心悸,symptom_of,早搏
早搏,contains_symptom,心绞痛
心绞痛,symptom_of,早搏
早搏,contains_symptom,充血性心力衰竭
充血性心力衰竭,symptom_of,早搏
早泄,contains_symptom,抑郁症
抑郁症,symptom_of,早泄
早泄,contains_symptom,疲乏
疲乏,symptom_of,早泄
早泄,contains_symptom,乏力
乏力,symptom_of,早泄
早泄,contains_symptom,头晕....
头晕....,symptom_of,早泄
丙酸倍氯米松软膏,to_treat,皮炎
皮炎,treated_by,丙酸倍氯米松软膏
丙酸倍氯米松软膏,to_treat,荨麻疹
荨麻疹,treated_by,丙酸倍氯米松软膏
丙酸倍氯米松软膏,to_treat,湿疹
湿疹,treated_by,丙酸倍氯米松软膏
无力,related_to,重症肌无力
重症肌无力,related_to,无力
无力,related_to,惊厥
惊厥,related_to,无力
无力,check_item,核磁共振成像mri
核磁共振成像mri,checked_for,无力
病毒性脑膜炎,contains_symptom,头痛
头痛,symptom_of,病毒性脑膜炎
病毒性脑膜炎,contains_symptom,发热
发热,symptom_of,病毒性脑膜炎
病毒性脑膜炎,contains_symptom,嗜睡
嗜睡,symptom_of,病毒性脑膜炎
病毒性脑膜炎,contains_symptom,呕吐
呕吐,symptom_of,病毒性脑膜炎
病毒性脑膜炎,contains_symptom,恶心
恶心,symptom_of,病毒性脑膜炎
病毒性脑膜炎,contains_symptom,烦躁不安
烦躁不安,symptom_of,病毒性脑膜炎
病毒性脑膜炎,contains_symptom,意识障碍
意识障碍,symptom_of,病毒性脑膜炎
病毒性脑膜炎,check_item,脑脊液鼻漏
脑脊液鼻漏,checked_for,病毒性脑膜炎
病毒性脑膜炎,complication_to,流行性感冒
流行性感冒,complication_to,病毒性脑膜炎
病毒性脑膜炎,check_item,非惊厥性se
非惊厥性se,checked_for,病毒性脑膜炎
病毒性脑膜炎,caused_by,eb病毒感染
eb病毒感染,lead_to,病毒性脑膜炎
病毒性脑膜炎,caused_by,肠道病毒71型感染
肠道病毒71型感染,lead_to,病毒性脑膜炎
病毒性脑膜炎,caused_by,巨细胞病毒感染
巨细胞病毒感染,lead_to,病毒性脑膜炎
病毒性脑膜炎,caused_by,腺病毒肺炎
腺病毒肺炎,lead_to,病毒性脑膜炎
无菌性前列腺炎,contains_symptom,尿急
尿急,symptom_of,无菌性前列腺炎
无菌性前列腺炎,contains_symptom,口及咽部烧灼感
口及咽部烧灼感,symptom_of,无菌性前列腺炎
无菌性前列腺炎,contains_symptom,尿痛....
尿痛....,symptom_of,无菌性前列腺炎
无菌性前列腺炎,contains_symptom,排尿困难及尿潴留
排尿困难及尿潴留,symptom_of,无菌性前列腺炎
无菌性前列腺炎,contains_symptom,尿频
尿频,symptom_of,无菌性前列腺炎
无菌性前列腺炎,contains_symptom,抑郁症
抑郁症,symptom_of,无菌性前列腺炎
无菌性前列腺炎,contains_symptom,感染
感染,symptom_of,无菌性前列腺炎
无菌性前列腺炎,contains_symptom,疼痛
疼痛,symptom_of,无菌性前列腺炎
梨果仙人掌,to_treat,胃痛
胃痛,treated_by,梨果仙人掌
梨果仙人掌,to_treat,大
大,treated_by,梨果仙人掌
梨果仙人掌,to_treat,咳嗽
咳嗽,treated_by,梨果仙人掌
梨果仙人掌,to_treat,腹泻病
腹泻病,treated_by,梨果仙人掌
妊娠反应,contains_symptom,尿频
尿频,symptom_of,妊娠反应
妊娠反应,contains_symptom,刺痛
刺痛,symptom_of,妊娠反应
妊娠反应,contains_symptom,恶心
恶心,symptom_of,妊娠反应
妊娠反应,contains_symptom,呕吐
呕吐,symptom_of,妊娠反应
妊娠反应,contains_symptom,乏力
乏力,symptom_of,妊娠反应
妊娠反应,contains_symptom,头晕....
头晕....,symptom_of,妊娠反应
妊娠反应,contains_symptom,充血
充血,symptom_of,妊娠反应
妊娠反应,contains_symptom,食欲不振
食欲不振,symptom_of,妊娠反应
无症状性冠心病,contains_symptom,心律失常
心律失常,symptom_of,无症状性冠心病
无症状性冠心病,contains_symptom,失眠症
失眠症,symptom_of,无症状性冠心病
无痛肠镜检查,related_to,肠鸣
肠鸣,related_to,无痛肠镜检查
无痛肠镜检查,related_to,腹痛
腹痛,related_to,无痛肠镜检查
无痛肠镜检查,related_to,小肠腺瘤
小肠腺瘤,related_to,无痛肠镜检查
无痛肠镜检查,related_to,直肠癌
直肠癌,related_to,无痛肠镜检查
镇痛剂肾病,complication_to,上消化道出血
上消化道出血,complication_to,镇痛剂肾病
镇痛剂肾病,complication_to,肾结石
肾结石,complication_to,镇痛剂肾病
镇痛剂肾病,complication_to,高血压
高血压,complication_to,镇痛剂肾病
镇痛剂肾病,complication_to,出血......
出血......,complication_to,镇痛剂肾病
镇痛剂肾病,complication_to,感染
感染,complication_to,镇痛剂肾病
镇痛剂肾病,complication_to,溃疡
溃疡,complication_to,镇痛剂肾病
镇痛剂肾病,complication_to,紧张
紧张,complication_to,镇痛剂肾病
镇痛剂肾病,complication_to,急性肾衰竭
急性肾衰竭,complication_to,镇痛剂肾病
镇痛剂肾病,complication_to,充血性心力衰竭
充血性心力衰竭,complication_to,镇痛剂肾病
镇痛剂肾病,complication_to,泌尿道感染
泌尿道感染,complication_to,镇痛剂肾病
镇痛剂肾病,complication_to,结石
结石,complication_to,镇痛剂肾病
镇痛剂肾病,contains_symptom,上消化道出血
上消化道出血,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,急性肾衰竭
急性肾衰竭,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,充血性心力衰竭
充血性心力衰竭,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,胸闷
胸闷,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,肾小球肾炎
肾小球肾炎,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,头痛
头痛,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,肾损害
肾损害,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,泌尿道感染
泌尿道感染,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,尿
尿,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,血尿
血尿,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,肾结石
肾结石,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,心悸
心悸,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,感染
感染,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,溃疡
溃疡,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,高血压
高血压,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,出血......
出血......,symptom_of,镇痛剂肾病
镇痛剂肾病,contains_symptom,紧张
紧张,symptom_of,镇痛剂肾病
镇痛剂肾病,treated_by,碳酸氢钠
碳酸氢钠,to_treat,镇痛剂肾病
无痛胃镜检查,related_to,压痛
压痛,related_to,无痛胃镜检查
无痛胃镜检查,related_to,腹胀
腹胀,related_to,无痛胃镜检查
无痛胃镜检查,related_to,慢性胃炎
慢性胃炎,related_to,无痛胃镜检查
无痛胃镜检查,related_to,十二指肠溃疡
十二指肠溃疡,related_to,无痛胃镜检查
无痛胃镜检查,related_to,消化性溃疡
消化性溃疡,related_to,无痛胃镜检查
无痛胃镜检查,related_to,胃癌
胃癌,related_to,无痛胃镜检查
无痛胃镜检查,related_to,胃炎
胃炎,related_to,无痛胃镜检查
无痛胃镜检查,related_to,萎缩性胃炎
萎缩性胃炎,related_to,无痛胃镜检查
痉挛性斜颈,contains_symptom,抑郁症
抑郁症,symptom_of,痉挛性斜颈
痉挛性斜颈,contains_symptom,紧张
紧张,symptom_of,痉挛性斜颈
保妇康栓,adverse_reaction,阴道炎
阴道炎,adverse_reaction_of,保妇康栓
保妇康栓,adverse_reaction,发热
发热,adverse_reaction_of,保妇康栓
保妇康栓,to_treat,阴道炎
阴道炎,treated_by,保妇康栓
保妇康栓,to_treat,念珠菌性阴道炎
念珠菌性阴道炎,treated_by,保妇康栓
保妇康栓,to_treat,老年性阴道炎
老年性阴道炎,treated_by,保妇康栓
保列治,adverse_reaction,疼痛
疼痛,adverse_reaction_of,保列治
保列治,adverse_reaction,勃起功能障碍
勃起功能障碍,adverse_reaction_of,保列治
保列治,to_treat,尿潴留
尿潴留,treated_by,保列治
保列治,to_treat,脱发
脱发,treated_by,保列治
保列治,to_treat,前列腺增生
前列腺增生,treated_by,保列治
非那雄胺,to_treat,脱发
脱发,treated_by,非那雄胺
非那雄胺,adverse_reaction,性欲减退
性欲减退,adverse_reaction_of,非那雄胺
非那雄胺,adverse_reaction,疼痛
疼痛,adverse_reaction_of,非那雄胺
非那雄胺,adverse_reaction,勃起功能障碍
勃起功能障碍,adverse_reaction_of,非那雄胺
重组人红细胞生成素,adverse_reaction,高血压脑出血
高血压脑出血,adverse_reaction_of,重组人红细胞生成素
重组人红细胞生成素,adverse_reaction,疼痛
疼痛,adverse_reaction_of,重组人红细胞生成素
重组人红细胞生成素,adverse_reaction,浮肿
浮肿,adverse_reaction_of,重组人红细胞生成素
重组人红细胞生成素,adverse_reaction,高血压
高血压,adverse_reaction_of,重组人红细胞生成素
重组人红细胞生成素,adverse_reaction,瘙痒
瘙痒,adverse_reaction_of,重组人红细胞生成素
重组人红细胞生成素,adverse_reaction,水肿
水肿,adverse_reaction_of,重组人红细胞生成素
重组人红细胞生成素,adverse_reaction,肾功能衰竭
肾功能衰竭,adverse_reaction_of,重组人红细胞生成素
重组人红细胞生成素,adverse_reaction,贫血
贫血,adverse_reaction_of,重组人红细胞生成素
重组人红细胞生成素,adverse_reaction,乏力
乏力,adverse_reaction_of,重组人红细胞生成素
重组人红细胞生成素,adverse_reaction,呕吐
呕吐,adverse_reaction_of,重组人红细胞生成素
重组人红细胞生成素,adverse_reaction,恶心
恶心,adverse_reaction_of,重组人红细胞生成素
重组人红细胞生成素,adverse_reaction,血清谷草转氨酶
血清谷草转氨酶,adverse_reaction_of,重组人红细胞生成素
重组人红细胞生成素,adverse_reaction,再生障碍性贫血
再生障碍性贫血,adverse_reaction_of,重组人红细胞生成素
重组人红细胞生成素,to_treat,肾功能衰竭
肾功能衰竭,treated_by,重组人红细胞生成素
重组人红细胞生成素,to_treat,溶血性贫血
溶血性贫血,treated_by,重组人红细胞生成素
重组人红细胞生成素,to_treat,贫血
贫血,treated_by,重组人红细胞生成素
重组人红细胞生成素,to_treat,急性肾衰竭
急性肾衰竭,treated_by,重组人红细胞生成素
重组人红细胞生成素,to_treat,慢性肾衰竭
慢性肾衰竭,treated_by,重组人红细胞生成素
促黄体素,adverse_reaction,疼痛
疼痛,adverse_reaction_of,促黄体素
促黄体素,adverse_reaction,体重增加
体重增加,adverse_reaction_of,促黄体素
促黄体生成素lh,related_to,肥胖
肥胖,related_to,促黄体生成素lh
促黄体生成素lh,related_to,闭经
闭经,related_to,促黄体生成素lh
促黄体生成素lh,related_to,卵巢早衰
卵巢早衰,related_to,促黄体生成素lh
保济丸,to_treat,发热
发热,treated_by,保济丸
保济丸,to_treat,恶心
恶心,treated_by,保济丸
保济丸,to_treat,呕吐
呕吐,treated_by,保济丸
保济丸,to_treat,腹痛
腹痛,treated_by,保济丸
保济丸,to_treat,腹泻病
腹泻病,treated_by,保济丸
保和颗粒,to_treat,胃
胃,treated_by,保和颗粒
保和颗粒,to_treat,腹胀
腹胀,treated_by,保和颗粒
绒促性素,adverse_reaction,出血......
出血......,adverse_reaction_of,绒促性素
绒促性素,adverse_reaction,腹水
腹水,adverse_reaction_of,绒促性素
绒促性素,adverse_reaction,疼痛
疼痛,adverse_reaction_of,绒促性素
绒促性素,to_treat,子宫出血
子宫出血,treated_by,绒促性素
绒促性素,to_treat,出血......
出血......,treated_by,绒促性素
绒促性素,to_treat,流产
流产,treated_by,绒促性素
缩宫素,to_treat,流产
流产,treated_by,缩宫素
缩宫素,to_treat,出血......
出血......,treated_by,缩宫素
缩宫素,adverse_reaction,出血......
出血......,adverse_reaction_of,缩宫素
缩宫素,adverse_reaction,黄疸
黄疸,adverse_reaction_of,缩宫素
缩宫素,adverse_reaction,新生儿黄疸
新生儿黄疸,adverse_reaction_of,缩宫素
必利劲,adverse_reaction,头痛
头痛,adverse_reaction_of,必利劲
必利劲,adverse_reaction,高血压
高血压,adverse_reaction_of,必利劲
必利劲,adverse_reaction,恶心
恶心,adverse_reaction_of,必利劲
硝酸咪康唑霜,to_treat,感染
感染,treated_by,硝酸咪康唑霜
硝酸咪康唑霜,to_treat,手癣
手癣,treated_by,硝酸咪康唑霜
硝酸咪康唑霜,to_treat,体癣
体癣,treated_by,硝酸咪康唑霜
硝酸咪康唑霜,to_treat,脚癣
脚癣,treated_by,硝酸咪康唑霜
硝酸咪康唑霜,to_treat,阴道炎
阴道炎,treated_by,硝酸咪康唑霜
硝酸咪康唑霜,to_treat,肺炎
肺炎,treated_by,硝酸咪康唑霜
硝酸咪康唑霜,to_treat,泌尿道感染
泌尿道感染,treated_by,硝酸咪康唑霜
硝酸咪康唑霜,adverse_reaction,丘疹
丘疹,adverse_reaction_of,硝酸咪康唑霜
硝酸咪康唑霜,adverse_reaction,便秘
便秘,adverse_reaction_of,硝酸咪康唑霜
硝酸咪康唑霜,adverse_reaction,瘙痒症
瘙痒症,adverse_reaction_of,硝酸咪康唑霜
硝酸咪康唑霜,adverse_reaction,发热
发热,adverse_reaction_of,硝酸咪康唑霜
硝酸咪康唑霜,adverse_reaction,接触性皮炎
接触性皮炎,adverse_reaction_of,硝酸咪康唑霜
硝酸咪康唑霜,adverse_reaction,皮疹
皮疹,adverse_reaction_of,硝酸咪康唑霜
硝酸咪康唑霜,adverse_reaction,皮炎
皮炎,adverse_reaction_of,硝酸咪康唑霜
硝酸咪康唑霜,adverse_reaction,感染
感染,adverse_reaction_of,硝酸咪康唑霜
硝酸咪康唑霜,adverse_reaction,瘙痒
瘙痒,adverse_reaction_of,硝酸咪康唑霜
硝酸咪康唑霜,adverse_reaction,充血
充血,adverse_reaction_of,硝酸咪康唑霜
硝酸咪康唑霜,adverse_reaction,口及咽部烧灼感
口及咽部烧灼感,adverse_reaction_of,硝酸咪康唑霜
硝酸咪康唑霜,adverse_reaction,头痛
头痛,adverse_reaction_of,硝酸咪康唑霜
硝酸咪康唑霜,adverse_reaction,湿疹
湿疹,adverse_reaction_of,硝酸咪康唑霜
硝酸咪康唑霜,adverse_reaction,血管神经性水肿
血管神经性水肿,adverse_reaction_of,硝酸咪康唑霜
硝酸咪康唑霜,adverse_reaction,腹痛
腹痛,adverse_reaction_of,硝酸咪康唑霜
硝酸咪康唑霜,adverse_reaction,出血......
出血......,adverse_reaction_of,硝酸咪康唑霜
炔雌醇环丙孕酮片,to_treat,多囊卵巢综合征
多囊卵巢综合征,treated_by,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,to_treat,脱发
脱发,treated_by,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,to_treat,囊肿性痤疮
囊肿性痤疮,treated_by,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,to_treat,痤疮
痤疮,treated_by,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,adverse_reaction,过敏性休克
过敏性休克,adverse_reaction_of,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,adverse_reaction,疼痛
疼痛,adverse_reaction_of,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,adverse_reaction,高血压
高血压,adverse_reaction_of,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,adverse_reaction,恶心
恶心,adverse_reaction_of,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,adverse_reaction,体重增加
体重增加,adverse_reaction_of,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,adverse_reaction,腹泻病
腹泻病,adverse_reaction_of,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,adverse_reaction,肥胖
肥胖,adverse_reaction_of,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,adverse_reaction,结节性红斑
结节性红斑,adverse_reaction_of,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,adverse_reaction,水肿
水肿,adverse_reaction_of,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,adverse_reaction,麻疹感染
麻疹感染,adverse_reaction_of,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,adverse_reaction,静脉血栓形成
静脉血栓形成,adverse_reaction_of,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,adverse_reaction,呕吐
呕吐,adverse_reaction_of,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,adverse_reaction,乳腺癌
乳腺癌,adverse_reaction_of,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,adverse_reaction,肿瘤
肿瘤,adverse_reaction_of,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,adverse_reaction,中风
中风,adverse_reaction_of,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,adverse_reaction,腹痛
腹痛,adverse_reaction_of,炔雌醇环丙孕酮片
炔雌醇环丙孕酮片,adverse_reaction,皮疹
皮疹,adverse_reaction_of,炔雌醇环丙孕酮片
氯地孕酮,adverse_reaction,月经过多
月经过多,adverse_reaction_of,氯地孕酮
氯地孕酮,adverse_reaction,水肿
水肿,adverse_reaction_of,氯地孕酮
氯地孕酮,adverse_reaction,头痛
头痛,adverse_reaction_of,氯地孕酮
氯地孕酮,adverse_reaction,乳房胀痛
乳房胀痛,adverse_reaction_of,氯地孕酮
氯地孕酮,adverse_reaction,闭经
闭经,adverse_reaction_of,氯地孕酮
氯地孕酮,adverse_reaction,白带
白带,adverse_reaction_of,氯地孕酮
阿达帕林,adverse_reaction,鳞屑
鳞屑,adverse_reaction_of,阿达帕林
阿达帕林,adverse_reaction,湿疹
湿疹,adverse_reaction_of,阿达帕林
阿达帕林,adverse_reaction,痤疮
痤疮,adverse_reaction_of,阿达帕林
阿达帕林,adverse_reaction,刺痛
刺痛,adverse_reaction_of,阿达帕林
阿达帕林,adverse_reaction,皮炎
皮炎,adverse_reaction_of,阿达帕林
阿达帕林,to_treat,丘疹
丘疹,treated_by,阿达帕林
阿达帕林,to_treat,痤疮
痤疮,treated_by,阿达帕林
地屈孕酮,adverse_reaction,头痛
头痛,adverse_reaction_of,地屈孕酮
地屈孕酮,adverse_reaction,阴道出血
阴道出血,adverse_reaction_of,地屈孕酮
地屈孕酮,adverse_reaction,出血......
出血......,adverse_reaction_of,地屈孕酮
地屈孕酮,adverse_reaction,贫血
贫血,adverse_reaction_of,地屈孕酮
地屈孕酮,adverse_reaction,偏头痛
偏头痛,adverse_reaction_of,地屈孕酮
地屈孕酮,adverse_reaction,疼痛
疼痛,adverse_reaction_of,地屈孕酮
地屈孕酮,adverse_reaction,紧张
紧张,adverse_reaction_of,地屈孕酮
地屈孕酮,adverse_reaction,闭经
闭经,adverse_reaction_of,地屈孕酮
地屈孕酮,adverse_reaction,腹痛
腹痛,adverse_reaction_of,地屈孕酮
地屈孕酮,adverse_reaction,肿瘤
肿瘤,adverse_reaction_of,地屈孕酮
地屈孕酮,adverse_reaction,呕吐
呕吐,adverse_reaction_of,地屈孕酮
地屈孕酮,to_treat,子宫内膜异位症
子宫内膜异位症,treated_by,地屈孕酮
地屈孕酮,to_treat,子宫出血
子宫出血,treated_by,地屈孕酮
地屈孕酮,to_treat,出血......
出血......,treated_by,地屈孕酮
地屈孕酮,to_treat,痛经
痛经,treated_by,地屈孕酮
地屈孕酮,to_treat,闭经
闭经,treated_by,地屈孕酮
地屈孕酮,to_treat,流产
流产,treated_by,地屈孕酮
盐酸羟甲唑啉喷雾剂,to_treat,鼻炎
鼻炎,treated_by,盐酸羟甲唑啉喷雾剂
盐酸羟甲唑啉喷雾剂,to_treat,鼻旁窦炎
鼻旁窦炎,treated_by,盐酸羟甲唑啉喷雾剂
盐酸羟甲唑啉喷雾剂,adverse_reaction,头晕....
头晕....,adverse_reaction_of,盐酸羟甲唑啉喷雾剂
盐酸羟甲唑啉喷雾剂,adverse_reaction,充血
充血,adverse_reaction_of,盐酸羟甲唑啉喷雾剂
盐酸羟甲唑啉喷雾剂,adverse_reaction,鼻炎
鼻炎,adverse_reaction_of,盐酸羟甲唑啉喷雾剂
盐酸羟甲唑啉喷雾剂,adverse_reaction,头痛
头痛,adverse_reaction_of,盐酸羟甲唑啉喷雾剂
铝碳酸镁,to_treat,胃炎
胃炎,treated_by,铝碳酸镁
铝碳酸镁,to_treat,灼痛
灼痛,treated_by,铝碳酸镁
铝碳酸镁,to_treat,嗳气
嗳气,treated_by,铝碳酸镁
铝碳酸镁,to_treat,功能性消化不良
功能性消化不良,treated_by,铝碳酸镁
铝碳酸镁,to_treat,烧心
烧心,treated_by,铝碳酸镁
铝碳酸镁,to_treat,慢性胃炎
慢性胃炎,treated_by,铝碳酸镁
铝碳酸镁,to_treat,恶心
恶心,treated_by,铝碳酸镁
铝碳酸镁,to_treat,反流食管炎
反流食管炎,treated_by,铝碳酸镁
铝碳酸镁,to_treat,十二指肠溃疡
十二指肠溃疡,treated_by,铝碳酸镁
铝碳酸镁,to_treat,呕吐
呕吐,treated_by,铝碳酸镁
铝碳酸镁,to_treat,胃痛
胃痛,treated_by,铝碳酸镁
铝碳酸镁,to_treat,反酸
反酸,treated_by,铝碳酸镁
铝碳酸镁,to_treat,食管炎
食管炎,treated_by,铝碳酸镁
铝碳酸镁,to_treat,胃酸过多
胃酸过多,treated_by,铝碳酸镁
铝碳酸镁,to_treat,消化性溃疡
消化性溃疡,treated_by,铝碳酸镁
铝碳酸镁,adverse_reaction,呕吐
呕吐,adverse_reaction_of,铝碳酸镁
铝碳酸镁,adverse_reaction,功能性消化不良
功能性消化不良,adverse_reaction_of,铝碳酸镁
铝碳酸镁,adverse_reaction,便秘
便秘,adverse_reaction_of,铝碳酸镁
铝碳酸镁,adverse_reaction,口干
口干,adverse_reaction_of,铝碳酸镁
铝碳酸镁,adverse_reaction,腹泻病
腹泻病,adverse_reaction_of,铝碳酸镁
泰毕全,adverse_reaction,出血......
出血......,adverse_reaction_of,泰毕全
泰毕全,adverse_reaction,大
大,adverse_reaction_of,泰毕全
泰毕全,adverse_reaction,慢性心房颤动
慢性心房颤动,adverse_reaction_of,泰毕全
泰毕全,to_treat,高血压
高血压,treated_by,泰毕全
泰毕全,to_treat,充血性心力衰竭
充血性心力衰竭,treated_by,泰毕全
泰毕全,to_treat,慢性心房颤动
慢性心房颤动,treated_by,泰毕全
泰毕全,to_treat,心脏疾病
心脏疾病,treated_by,泰毕全
泰毕全,to_treat,糖尿病
糖尿病,treated_by,泰毕全
达立通颗粒,to_treat,疼痛
疼痛,treated_by,达立通颗粒
达立通颗粒,to_treat,功能性消化不良
功能性消化不良,treated_by,达立通颗粒
达立通颗粒,to_treat,口干
口干,treated_by,达立通颗粒
达立通颗粒,adverse_reaction,腹痛
腹痛,adverse_reaction_of,达立通颗粒
大败毒胶囊,to_treat,淋病
淋病,treated_by,大败毒胶囊
大败毒胶囊,to_treat,疼痛
疼痛,treated_by,大败毒胶囊
大败毒胶囊,to_treat,刺痛
刺痛,treated_by,大败毒胶囊
大便酸臭,related_to,稀便
稀便,related_to,大便酸臭
大便干结呈算盘珠状,related_to,便秘
便秘,related_to,大便干结呈算盘珠状
大便干结呈算盘珠状,check_item,血常规检查
血常规检查,checked_for,大便干结呈算盘珠状
大便变细,related_to,便秘
便秘,related_to,大便变细
大便变细,related_to,腹泻病
腹泻病,related_to,大便变细
大便失禁,related_to,直肠癌
直肠癌,related_to,大便失禁
大便失禁,related_to,腹泻病
腹泻病,related_to,大便失禁
小儿便秘,complication_to,肛裂
肛裂,complication_to,小儿便秘
小儿便秘,contains_symptom,出血......
出血......,symptom_of,小儿便秘
小儿便秘,contains_symptom,头晕....
头晕....,symptom_of,小儿便秘
小儿便秘,contains_symptom,乏力
乏力,symptom_of,小儿便秘
小儿便秘,contains_symptom,紧张
紧张,symptom_of,小儿便秘
小儿便秘,contains_symptom,疼痛
疼痛,symptom_of,小儿便秘
小儿便秘,contains_symptom,头痛
头痛,symptom_of,小儿便秘
小儿便秘,contains_symptom,感染
感染,symptom_of,小儿便秘
